Sample Name,Target Name,CT,delta CT,delta CT mean,delta delta CT ,FC,log FC
WT DMSO 1,beta actin,15.132,0,0,0,1,0
WT DMSO 1,cyp1a,27.769,12.637,13.216,-0.58,1.495,0.579678774
WT DMSO 1,slincR,29.033,13.901,11.569,2.332,0.199,-2.331730127
WT DMSO 1,sox9b,24.981,9.849,10.289,-0.44,1.357,0.440332174
WT DMSO 1,AHRRB,28.885,13.753,14.052,-0.3,1.231,0.299857855
WT DMSO 1,lnc20580,27.926,12.794,12.811,-0.017,1.012,0.017396688
WT DMSO 1,lnc42163,20.088,4.956,5.086,-0.129,1.094,0.129461527
WT DMSO 1,lncBX901923.2,26.312,11.18,11.686,-0.506,1.42,0.505912542
WT DMSO 2,beta actin,15.151,0,0,0,1,0
WT DMSO 2,cyp1a,28.569,13.419,13.21634412,0.202,0.869,-0.202450514
WT DMSO 2,slincR,25.885,10.734,11.56908774,-0.835,1.784,0.835201025
WT DMSO 2,sox9b,25.181,10.031,10.28910232,-0.258,1.196,0.258394003
WT DMSO 2,AHRRB,28.954,13.803,14.05245566,-0.249,1.189,0.249442816
WT DMSO 2,lnc20580,27.979,12.828,12.81147552,0.017,0.988,-0.016969919
WT DMSO 2,lnc42163,20.785,5.634,5.085842371,0.549,0.684,-0.548547506
WT DMSO 2,lncBX901923.2,27.48,12.33,11.68634963,0.643,0.64,-0.643301249
WT DMSO 3,beta actin,15.078,0,0,0,1,0
WT DMSO 3,cyp1a,28.564,13.486,13.21634412,0.27,0.829,-0.269785643
WT DMSO 3,slincR,25.847,10.769,11.56908774,-0.8,1.741,0.799899817
WT DMSO 3,sox9b,25.678,10.6,10.28910232,0.311,0.806,-0.3110888
WT DMSO 3,AHRRB,29.297,14.219,14.05245566,0.166,0.891,-0.166170359
WT DMSO 3,lnc20580,27.747,12.669,12.81147552,-0.143,1.104,0.142902136
WT DMSO 3,lnc42163,19.96,4.882,5.085842371,-0.204,1.152,0.204040766
WT DMSO 3,lncBX901923.2,26.587,11.509,11.68634963,-0.177,1.131,0.177158117
WT DMSO 4,beta actin,14.983,0,0,0,1,0
